id,first_name,last_name,email,gender,ip_address,created_at,age,lifetime_value,churn_risk_score,segment
1,Guss,Calltone,gcalltone0@usatoday.com,Male,242.246.175.49,21/01/2025,79,9250,12602,High CLV Customers
2,Lizzie,Eccleston,leccleston1@dmoz.org,Female,199.123.184.147,10/09/2025,24,6819,10044,New Signups (Last 30 Days)
3,Tabina,Humburton,thumburton2@pinterest.com,Female,210.147.178.85,27/03/2025,49,6252,750,Churn Risk
4,Vasily,Davidsen,vdavidsen3@blog.com,Male,171.221.4.92,02/07/2025,28,16255,19214,Churn Risk
5,Brynne,Ockleshaw,bockleshaw4@soundcloud.com,Female,247.185.159.181,01/08/2025,22,966,13552,Inactive > 90 Days
6,Tomlin,Cescotti,tcescotti5@wikia.com,Male,153.166.250.114,17/09/2025,21,15795,10179,Churn Risk
7,Jesse,Bris,jbris6@prnewswire.com,Male,117.84.197.247,13/04/2025,42,1075,3424,Inactive > 90 Days
8,Benito,Whooley,bwhooley7@youku.com,Male,97.206.3.237,13/09/2025,73,17364,9377,New Signups (Last 30 Days)
9,Cleveland,Folker,cfolker8@engadget.com,Male,77.130.135.193,03/04/2025,78,7708,6110,High CLV Customers
10,Cornie,MacDiarmond,cmacdiarmond9@netvibes.com,Male,180.71.40.63,11/03/2025,19,16777,7704,New Signups (Last 30 Days)
11,Hobart,Yesson,hyessona@answers.com,Male,201.40.43.194,05/02/2025,32,7992,18006,High CLV Customers
12,Craggy,Read,creadb@ow.ly,Male,28.117.211.242,05/08/2025,24,6467,11812,New Signups (Last 30 Days)
13,Frannie,Annear,fannearc@psu.edu,Female,116.45.53.238,27/03/2025,51,19724,7820,New Signups (Last 30 Days)
14,Arlina,Hirthe,ahirthed@bbb.org,Female,225.207.131.155,08/12/2024,43,10765,5997,High CLV Customers
15,Boyce,Dear,bdeare@cbslocal.com,Male,42.105.188.89,24/02/2025,32,17169,11370,New Signups (Last 30 Days)
16,Webster,Corrett,wcorrettf@chronoengine.com,Male,254.150.109.63,04/02/2025,46,13151,5422,Inactive > 90 Days
17,Cosimo,Brodnecke,cbrodneckeg@nifty.com,Male,196.241.88.123,24/03/2025,28,12217,12336,Inactive > 90 Days
18,Chrotoem,Corwin,ccorwinh@ucla.edu,Male,78.220.236.149,22/03/2025,27,11324,18260,High CLV Customers
19,Cariotta,Halvosen,chalvoseni@icq.com,Female,71.247.80.220,15/10/2025,25,17663,7301,Inactive > 90 Days
20,Tandi,Lowe,tlowej@ebay.co.uk,Non-binary,243.191.168.196,11/01/2025,70,14737,11442,Churn Risk
21,Hayyim,Straneo,hstraneok@mtv.com,Male,2.103.15.34,30/03/2025,45,18191,11006,Inactive > 90 Days
22,Nicky,Strutley,nstrutleyl@upenn.edu,Male,240.156.107.212,22/12/2024,37,6811,6695,New Signups (Last 30 Days)
23,Raul,Goodoune,rgoodounem@eepurl.com,Male,132.182.221.80,09/12/2024,56,934,7786,Churn Risk
24,Wheeler,Mainds,wmaindsn@foxnews.com,Male,18.33.167.72,25/01/2025,26,3447,5310,Inactive > 90 Days
25,Mirabella,Saull,msaullo@hexun.com,Female,3.111.63.218,28/06/2025,50,11853,10895,New Signups (Last 30 Days)
